job,cluster,buffered,group,threads,rdate,files,filesize,fileunit,mode,aggrb,bw,rw,bs,bsunit,ioengine,iodepth
fio-beegfs-read-unbuffered-block_512k-size_2G-threads_4,barenode,0,0,4,2018-11-21 18:55:30,4,2048.0,MB,read,482,482,rw,512,K,psync,1
fio-beegfs-write-unbuffered-block_16k-size_4G-threads_2,barenode,0,0,2,2018-11-21 12:00:05,4,4096.0,MB,write,158,158,rw,16,K,psync,1
fio-beegfs-write-buffered-block_64k-size_1G-threads_2,barenode,1,0,2,2018-11-08 23:42:28,4,1024.0,MB,write,609,609,rw,64,K,psync,1
fio-beegfs-read-buffered-block_16k-size_4G-threads_2,barenode,1,0,2,2018-11-09 02:58:13,4,4096.0,MB,read,1525,1525,rw,16,K,psync,1
fio-beegfs-read-buffered-block_1024k-size_1G-threads_1,barenode,1,0,1,2018-11-08 19:33:21,4,1024.0,MB,read,967,967,rw,1,M,psync,1
fio-beegfs-read-buffered-block_1024k-size_4G-threads_1,barenode,1,0,1,2018-11-08 22:55:15,4,4096.0,MB,read,983,983,rw,1,M,psync,1
fio-beegfs-write-unbuffered-block_512k-size_1G-threads_8,barenode,0,0,8,2018-11-22 04:12:49,4,1024.0,MB,write,372,372,rw,512,K,psync,1
fio-beegfs-write-unbuffered-block_1024k-size_2G-threads_2,barenode,0,0,2,2018-11-21 11:20:44,4,2048.0,MB,write,376,376,rw,1,M,psync,1
fio-beegfs-write-buffered-block_16k-size_4G-threads_1,barenode,1,0,1,2018-11-08 21:29:09,4,4096.0,MB,write,442,442,rw,16,K,psync,1
fio-beegfs-read-buffered-block_16k-size_4G-threads_8,barenode,1,0,8,2018-11-10 03:41:29,4,4096.0,MB,read,1323,1323,rw,16,K,psync,1
fio-beegfs-read-unbuffered-block_64k-size_1G-threads_1,barenode,0,0,1,2018-11-21 03:47:07,4,1024.0,MB,read,115,115,rw,64,K,psync,1
fio-beegfs-write-buffered-block_16k-size_2G-threads_1,barenode,1,0,1,2018-11-08 19:56:59,4,2048.0,MB,write,514,514,rw,16,K,psync,1
fio-beegfs-write-unbuffered-block_16k-size_4G-threads_1,barenode,0,0,1,2018-11-21 06:19:22,4,4096.0,MB,write,81,81,rw,16,K,psync,1
fio-beegfs-write-buffered-block_128k-size_2G-threads_2,barenode,1,0,2,2018-11-09 01:48:21,4,2048.0,MB,write,351,351,rw,128,K,psync,1
fio-beegfs-write-unbuffered-block_128k-size_4G-threads_8,barenode,0,0,8,2018-11-22 17:09:19,4,4096.0,MB,write,380,380,rw,128,K,psync,1
fio-beegfs-read-unbuffered-block_1024k-size_1G-threads_4,barenode,0,0,4,2018-11-21 16:25:40,4,1024.0,MB,read,478,478,rw,1,M,psync,1
fio-beegfs-write-buffered-block_128k-size_1G-threads_1,barenode,1,0,1,2018-11-08 19:13:52,4,1024.0,MB,write,561,561,rw,128,K,psync,1
fio-beegfs-read-buffered-block_64k-size_1G-threads_1,barenode,1,0,1,2018-11-08 18:54:30,4,1024.0,MB,read,858,858,rw,64,K,psync,1
fio-beegfs-write-unbuffered-block_512k-size_1G-threads_4,barenode,0,0,4,2018-11-21 16:13:28,4,1024.0,MB,write,375,375,rw,512,K,psync,1
fio-beegfs-read-unbuffered-block_1024k-size_4G-threads_2,barenode,0,0,2,2018-11-21 14:16:21,4,4096.0,MB,read,409,409,rw,1,M,psync,1
fio-beegfs-write-buffered-block_128k-size_1G-threads_8,barenode,1,0,8,2018-11-09 19:17:11,4,1024.0,MB,write,450,450,rw,128,K,psync,1
fio-beegfs-read-unbuffered-block_128k-size_2G-threads_2,barenode,0,0,2,2018-11-21 10:20:32,4,2048.0,MB,read,294,294,rw,128,K,psync,1
fio-beegfs-write-buffered-block_1024k-size_2G-threads_2,barenode,1,0,2,2018-11-09 02:37:49,4,2048.0,MB,write,341,341,rw,1,M,psync,1
fio-beegfs-read-buffered-block_1024k-size_2G-threads_4,barenode,1,0,4,2018-11-09 11:03:33,4,2048.0,MB,read,2814,2814,rw,1,M,psync,1
fio-beegfs-write-unbuffered-block_512k-size_1G-threads_2,barenode,0,0,2,2018-11-21 09:02:56,4,1024.0,MB,write,384,384,rw,512,K,psync,1
fio-beegfs-read-buffered-block_64k-size_4G-threads_8,barenode,1,0,8,2018-11-10 05:52:37,4,4096.0,MB,read,2739,2739,rw,64,K,psync,1
fio-beegfs-write-buffered-block_1024k-size_4G-threads_4,barenode,1,0,4,2018-11-09 17:14:27,4,4096.0,MB,write,403,403,rw,1,M,psync,1
fio-beegfs-read-unbuffered-block_128k-size_2G-threads_8,barenode,0,0,8,2018-11-22 07:45:55,4,2048.0,MB,read,443,443,rw,128,K,psync,1
fio-beegfs-write-buffered-block_16k-size_4G-threads_8,barenode,1,0,8,2018-11-10 04:47:09,4,4096.0,MB,write,411,411,rw,16,K,psync,1
fio-beegfs-write-unbuffered-block_1024k-size_4G-threads_1,barenode,0,0,1,2018-11-21 07:55:32,4,4096.0,MB,write,327,327,rw,1,M,psync,1
fio-beegfs-write-unbuffered-block_16k-size_1G-threads_1,barenode,0,0,1,2018-11-21 03:40:33,4,1024.0,MB,write,80,80,rw,16,K,psync,1
fio-beegfs-write-unbuffered-block_64k-size_2G-threads_2,barenode,0,0,2,2018-11-21 10:08:18,4,2048.0,MB,write,354,354,rw,64,K,psync,1
fio-beegfs-read-buffered-block_512k-size_4G-threads_8,barenode,1,0,8,2018-11-10 10:14:58,4,4096.0,MB,read,2871,2871,rw,512,K,psync,1
fio-beegfs-read-buffered-block_16k-size_1G-threads_1,barenode,1,0,1,2018-11-08 18:41:22,4,1024.0,MB,read,814,814,rw,16,K,psync,1
fio-beegfs-read-unbuffered-block_1024k-size_4G-threads_1,barenode,0,0,1,2018-11-21 07:43:41,4,4096.0,MB,read,282,282,rw,1,M,psync,1
fio-beegfs-read-unbuffered-block_512k-size_2G-threads_8,barenode,0,0,8,2018-11-22 08:55:11,4,2048.0,MB,read,510,510,rw,512,K,psync,1
fio-beegfs-write-buffered-block_1024k-size_1G-threads_8,barenode,1,0,8,2018-11-09 20:38:02,4,1024.0,MB,write,422,422,rw,1,M,psync,1
fio-beegfs-read-unbuffered-block_16k-size_2G-threads_4,barenode,0,0,4,2018-11-21 16:57:52,4,2048.0,MB,read,189,189,rw,16,K,psync,1
fio-beegfs-read-buffered-block_64k-size_1G-threads_4,barenode,1,0,4,2018-11-09 06:35:28,4,1024.0,MB,read,2622,2622,rw,64,K,psync,1
fio-beegfs-write-unbuffered-block_512k-size_4G-threads_8,barenode,0,0,8,2018-11-22 19:20:41,4,4096.0,MB,write,367,367,rw,512,K,psync,1
fio-beegfs-write-buffered-block_512k-size_1G-threads_8,barenode,1,0,8,2018-11-09 19:57:39,4,1024.0,MB,write,436,436,rw,512,K,psync,1
fio-beegfs-read-buffered-block_512k-size_4G-threads_2,barenode,1,0,2,2018-11-09 04:57:46,4,4096.0,MB,read,1884,1884,rw,512,K,psync,1
fio-beegfs-write-buffered-block_512k-size_4G-threads_8,barenode,1,0,8,2018-11-10 11:20:23,4,4096.0,MB,write,434,434,rw,512,K,psync,1
fio-beegfs-read-unbuffered-block_64k-size_4G-threads_4,barenode,0,0,4,2018-11-21 21:36:55,4,4096.0,MB,read,356,356,rw,64,K,psync,1
